RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID,COUPN_RATE,DSPLY_NAME,MATUR_DATE,OFFCL_CODE,YTM_ASK,YTM_BID
AMBMGRM-01Y,13-Jan-2014,00:00:22,13-Jan-2014,08:00:22,99.323,99.29,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.05,5.15
AMBMGRM-01Y,13-Jan-2014,03:00:01,13-Jan-2014,11:00:01,99.328,99.29,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.05,5.15
AMBMGRM-01Y,13-Jan-2014,09:06:52,13-Jan-2014,17:06:52,99.328,99.33,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,4.93,5.03
AMBMGRM-01Y,13-Jan-2014,09:06:54,13-Jan-2014,17:06:54,99.369,99.33,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,4.93,5.03
AMBMGRM-01Y,14-Jan-2014,03:00:01,14-Jan-2014,11:00:01,99.374,99.34,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,4.93,5.03
AMBMGRM-01Y,14-Jan-2014,08:56:32,14-Jan-2014,16:56:32,99.374,99.34,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,4.93,5.1
AMBMGRM-01Y,14-Jan-2014,08:56:32,14-Jan-2014,16:56:32,99.374,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,14-Jan-2014,08:56:33,14-Jan-2014,16:56:33,99.35,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,15-Jan-2014,03:00:01,15-Jan-2014,11:00:01,99.355,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,15-Jan-2014,09:26:27,15-Jan-2014,17:26:27,99.355,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.13
AMBMGRM-01Y,15-Jan-2014,09:26:28,15-Jan-2014,17:26:28,99.355,99.31,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.03,5.13
AMBMGRM-01Y,15-Jan-2014,09:26:29,15-Jan-2014,17:26:29,99.345,99.31,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.03,5.13
AMBMGRM-01Y,16-Jan-2014,03:00:00,16-Jan-2014,11:00:00,99.35,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.03,5.13
AMBMGRM-01Y,17-Jan-2014,03:00:01,17-Jan-2014,11:00:01,99.365,99.33,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.03,5.13
AMBMGRM-01Y,17-Jan-2014,05:23:39,17-Jan-2014,13:23:39,99.365,99.33,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.03,5.13
AMBMGRM-01Y,20-Jan-2014,00:00:20,20-Jan-2014,08:00:20,99.365,99.33,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.03,5.13
AMBMGRM-01Y,20-Jan-2014,03:00:00,20-Jan-2014,11:00:00,99.37,99.34,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.03,5.13
AMBMGRM-01Y,20-Jan-2014,08:58:05,20-Jan-2014,16:58:05,99.37,99.34,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.03,5.2
AMBMGRM-01Y,20-Jan-2014,08:58:06,20-Jan-2014,16:58:06,99.37,99.31,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.1,5.2
AMBMGRM-01Y,20-Jan-2014,08:58:07,20-Jan-2014,16:58:07,99.347,99.31,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.1,5.2
AMBMGRM-01Y,21-Jan-2014,03:00:00,21-Jan-2014,11:00:00,99.352,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.1,5.2
AMBMGRM-01Y,21-Jan-2014,04:11:41,21-Jan-2014,12:11:41,99.352,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.1,5.2
AMBMGRM-01Y,21-Jan-2014,04:38:00,21-Jan-2014,12:38:00,99.352,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.1,5.2
AMBMGRM-01Y,21-Jan-2014,04:38:11,21-Jan-2014,12:38:11,99.352,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.1,5.2
AMBMGRM-01Y,21-Jan-2014,09:11:41,21-Jan-2014,17:11:41,99.352,99.32,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.1,5.1
AMBMGRM-01Y,21-Jan-2014,09:11:42,21-Jan-2014,17:11:42,99.352,99.35,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,21-Jan-2014,09:11:43,21-Jan-2014,17:11:43,99.384,99.35,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,22-Jan-2014,01:47:46,22-Jan-2014,09:47:46,99.384,99.35,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,22-Jan-2014,03:00:00,22-Jan-2014,11:00:00,99.389,99.36,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,23-Jan-2014,03:00:00,23-Jan-2014,11:00:00,99.394,99.36,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,24-Jan-2014,03:00:00,24-Jan-2014,11:00:00,99.409,99.38,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,27-Jan-2014,00:00:24,27-Jan-2014,08:00:24,99.409,99.38,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,27-Jan-2014,03:00:00,27-Jan-2014,11:00:00,99.414,99.38,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.1
AMBMGRM-01Y,27-Jan-2014,09:34:44,27-Jan-2014,17:34:44,99.414,99.38,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.0,5.05
AMBMGRM-01Y,27-Jan-2014,09:34:45,27-Jan-2014,17:34:45,99.414,99.4,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,4.958,5.05
AMBMGRM-01Y,27-Jan-2014,09:34:47,27-Jan-2014,17:34:47,99.426,99.4,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,4.96,5.05
AMBMGRM-01Y,27-Jan-2014,09:34:48,27-Jan-2014,17:34:48,99.426,99.4,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,4.95,5.05
AMBMGRM-01Y,27-Jan-2014,09:34:49,27-Jan-2014,17:34:49,99.429,99.4,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,4.95,5.05
AMBMGRM-01Y,28-Jan-2014,01:10:01,28-Jan-2014,09:10:01,99.429,99.4,3.15,CNRMG 3.15 May14,24-May-2014,CND100006JM0,4.95,5.05
AMBMGRM-01Y,28-Jan-2014,01:10:01,28-Jan-2014,09:10:01,99.429,99.4,3.15,CNRMG 3.15 May14,24-May-2014,CND100006JM0,4.95,5.05
AMBMGRM-01Y,28-Jan-2014,01:11:59,28-Jan-2014,09:11:59,98.474,98.36,3.58,CNRMG 3.58 Mar15,29-Mar-2015,CND100006JM0,4.95,5.05
AMBMGRM-01Y,28-Jan-2014,03:00:00,28-Jan-2014,11:00:00,98.478,98.37,3.58,CNRMG 3.58 Mar15,29-Mar-2015,CND100006JM0,4.95,5.05
AMBMGRM-01Y,28-Jan-2014,03:14:08,28-Jan-2014,11:14:08,98.478,98.37,3.58,CNRMG 3.58 Mar15,29-Mar-2015,CND100006JM0,4.95,5.05
AMBMGRM-01Y,28-Jan-2014,09:29:26,28-Jan-2014,17:29:26,98.478,98.37,3.58,CNRMG 3.58 Mar15,29-Mar-2015,CND100006JM0,4.95,5.06
AMBMGRM-01Y,28-Jan-2014,09:29:27,28-Jan-2014,17:29:27,98.478,98.36,3.58,CNRMG 3.58 Mar15,29-Mar-2015,CND100006JM0,4.95,5.06
AMBMGRM-01Y,28-Jan-2014,09:29:28,28-Jan-2014,17:29:28,98.467,98.36,3.58,CNRMG 3.58 Mar15,29-Mar-2015,CND100006JM0,4.96,5.06
AMBMGRM-01Y,29-Jan-2014,03:00:00,29-Jan-2014,11:00:00,98.47,98.36,3.58,CNRMG 3.58 Mar15,29-Mar-2015,CND100006JM0,4.96,5.06
