RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID
AMCPSRMB02YA5Q03L,25-Jan-2013,02:59:15,25-Jan-2013,10:59:15,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,03:58:35,25-Jan-2013,11:58:35,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,04:10:40,25-Jan-2013,12:10:40,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,04:47:07,25-Jan-2013,12:47:07,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,09:38:05,25-Jan-2013,17:38:05,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,09:38:41,25-Jan-2013,17:38:41,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,09:44:21,25-Jan-2013,17:44:21,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,11:10:13,25-Jan-2013,19:10:13,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,14:47:53,25-Jan-2013,22:47:53,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,14:56:24,25-Jan-2013,22:56:24,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,15:01:18,25-Jan-2013,23:01:18,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,15:56:29,25-Jan-2013,23:56:29,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,16:03:27,26-Jan-2013,00:03:27,0.79,0.39
AMCPSRMB02YA5Q03L,25-Jan-2013,16:26:03,26-Jan-2013,00:26:03,0.79,0.39
AMCPSRMB02YA5Q03L,27-Jan-2013,23:36:17,28-Jan-2013,07:36:17,0.79,0.39
AMCPSRMB02YA5Q03L,28-Jan-2013,01:15:32,28-Jan-2013,09:15:32,0.79,0.39
AMCPSRMB02YA5Q03L,28-Jan-2013,19:14:28,29-Jan-2013,03:14:28,0.79,0.39
AMCPSRMB02YA5Q03L,28-Jan-2013,22:28:03,29-Jan-2013,06:28:03,0.79,0.39
AMCPSRMB02YA5Q03L,29-Jan-2013,19:41:04,30-Jan-2013,03:41:04,0.79,0.39
AMCPSRMB02YA5Q03L,30-Jan-2013,16:54:50,31-Jan-2013,00:54:50,0.79,0.39
AMCPSRMB02YA5Q03L,31-Jan-2013,09:55:46,31-Jan-2013,17:55:46,0.79,0.39
